HEADER,FRU Name,FRU Version,LossDate,LossVersion,NumSegments
HDRDATA,CHM6,P1B3,10-15-2020,0.1.5,1
SEGHEADER,No of Records
SEGDATA,256
RECHEADER,Link ID,mdB,Souce,Destination
DATA,0,11148,TMZ_ATL_TX_0,TMZ_BCM1_Host_RX_0
DATA,1,11100,TMZ_ATL_TX_1,TMZ_BCM1_Host_RX_1
DATA,2,10995,TMZ_ATL_TX_2,TMZ_BCM1_Host_RX_2
DATA,3,11113,TMZ_ATL_TX_3,TMZ_BCM1_Host_RX_3
DATA,4,10818,TMZ_ATL_TX_4,TMZ_BCM1_Host_RX_4
DATA,5,10768,TMZ_ATL_TX_5,TMZ_BCM1_Host_RX_5
DATA,6,10777,TMZ_ATL_TX_6,TMZ_BCM1_Host_RX_6
DATA,7,10967,TMZ_ATL_TX_7,TMZ_BCM1_Host_RX_7
DATA,8,11320,TMZ_BCM1_Host_TX_0,TMZ_ATL_RX_0
DATA,9,10769,TMZ_BCM1_Host_TX_1,TMZ_ATL_RX_1
DATA,10,10555,TMZ_BCM1_Host_TX_2,TMZ_ATL_RX_2
DATA,11,10465,TMZ_BCM1_Host_TX_3,TMZ_ATL_RX_3
DATA,12,10409,TMZ_BCM1_Host_TX_4,TMZ_ATL_RX_4
DATA,13,10325,TMZ_BCM1_Host_TX_5,TMZ_ATL_RX_5
DATA,14,10265,TMZ_BCM1_Host_TX_6,TMZ_ATL_RX_6
DATA,15,10133,TMZ_BCM1_Host_TX_7,TMZ_ATL_RX_7
DATA,16,10790,TMZ_ATL_TX_9,TMZ_BCM2_Host_RX_1
DATA,17,11355,TMZ_ATL_TX_8,TMZ_BCM2_Host_RX_0
DATA,18,10638,TMZ_ATL_TX_11,TMZ_BCM2_Host_RX_3
DATA,19,10909,TMZ_ATL_TX_10,TMZ_BCM2_Host_RX_2
DATA,20,10274,TMZ_ATL_TX_13,TMZ_BCM2_Host_RX_5
DATA,21,10510,TMZ_ATL_TX_12,TMZ_BCM2_Host_RX_4
DATA,22,10404,TMZ_ATL_TX_15,TMZ_BCM2_Host_RX_7
DATA,23,10316,TMZ_ATL_TX_14,TMZ_BCM2_Host_RX_6
DATA,24,12282,TMZ_BCM2_Host_TX_0,TMZ_ATL_RX_9
DATA,25,11080,TMZ_BCM2_Host_TX_1,TMZ_ATL_RX_8
